Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value
#1001,,refunded,,unfulfilled,,no,CAD,810.00,0.00,97.20,907.20,"",0.00,"",2017-03-21 11:33:03 -0700,1,Hoodie - L / blue,50.00,,h02r,true,true,pending,,,,,,,,,,,Will Turner,"1138 International Mews, Unit 507",1138 International Mews,Unit 507,Shopify,Kelowna,V1V1V8,BC,CA,2507892134,"","",2017-03-21 11:35:57 -0700,manual,#1001.1,907.20,Custom1234,4376463237,"",Low,shopify_draft_order,0.00,GST 5%,40.50,PST 7%,56.70,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - L / green,50.00,"",h03r,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - L / red,50.00,"",h01r,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - M / blue,50.00,"",h02m,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - M / green,50.00,"",h03m,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - M / red,50.00,"",h01m,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - S / blue,50.00,"",h02s,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - S / green,50.00,"",h03s,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Hoodie - S / red,50.00,"",h01s,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - L / black,40.00,"",j01l,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - L / blue,40.00,"",j02l,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - L / white,40.00,"",j03l,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - M / black,40.00,"",j01m,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - M / blue,40.00,"",j02m,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - M / white,40.00,"",j03m,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - S / black,40.00,"",j01s,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - S / blue,40.00,"",j02s,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2017-03-21 11:33:03 -0700,1,Jeans - S / white,40.00,"",j03s,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom1234,,,,,0.00,,,,,,,,,,
#1002,,paid,2017-03-21 11:37:21 -0700,unfulfilled,,no,CAD,450.00,0.00,54.00,504.00,"",0.00,"",2017-03-21 11:37:21 -0700,1,Hoodie - L / blue,50.00,,h02r,true,true,pending,,,,,,,,,,,Will Turner,"1139 International Mews, Unit 507",1139 International Mews,Unit 507,Shopify,Kelowna,V1V1V8,BC,CA,2507891234,"","",,manual,#1002.1,0.00,Custom1234,4376478533,"",Low,shopify_draft_order,0.00,GST 5%,22.50,PST 7%,31.50,,,,,,
